141.667,65,29.167,24.167,92.222,42.778,17.5,150.278,421.111,2,0
128.333,87.222,24.167,17.5,81.111,87.222,19.167,103.611,420,2,0
131.667,70.556,15.833,22.5,83.333,48.333,22.5,121.389,384.444,2,0
121.667,42.778,22.5,15.833,87.778,76.111,24.167,68.611,337.778,2,0
125,76.111,17.5,25.833,96.667,53.889,15.833,146.389,432.222,2,0
135,59.444,20.833,29.167,85.556,81.667,27.5,85.833,390,2,0
138.333,48.333,27.5,27.5,98.889,65,25.833,111.389,404.444,2,0
145,81.667,25.833,20.833,90,70.556,29.167,118.611,436.667,2,0
148.333,53.889,19.167,19.167,94.444,59.444,20.833,106.389,373.333,2,0
120,81.785,27.46,29.186,95.545,84.503,19.083,130.39,467.952,2,0
122.939,52.537,24.717,30,80,52.036,15,120.218,374.507,2,0
120,61.812,22.716,30,88.806,49.51,26.7,127.123,406.666,2,0
147.067,41.811,20.442,30,80,56.536,29.691,86.026,344.507,2,0
145.002,40.003,15,26.82,100,78.287,28.028,75.508,363.647,2,0
148.03,40,24.635,15,90.775,89.846,22.423,58.141,340.821,2,0
121.674,82.031,16.057,21.395,81.277,46.435,29.604,124.722,401.52,2,0
147.691,69.007,19.955,15,87.198,84.586,15,91.574,382.32,2,0
135.155,58.621,22.954,19.346,98.638,87.895,15.27,96.395,399.119,2,0
145.047,54.779,28.743,24.181,92.35,78.161,15,106.892,400.106,2,0
144.066,86.616,15.907,23.751,85.996,79.613,15,117.656,424.539,2,0
149.388,40.006,29.123,29.756,93.823,90,15,87.709,385.417,2,0
144.909,85.915,25.433,15.002,98.434,62.322,30,132.463,449.57,2,0
145.127,82.958,27.099,18.234,91.658,40,27.3,152.649,439.897,2,0
120,75.723,21.363,15,92.563,57.473,27.567,119.609,409.298,2,0
145.337,40.909,29.889,26.339,93.399,48.799,20.977,120.76,381.072,2,0
141.957,89.251,30,15,80.001,40,21.65,152.602,428.504,2,0
146.892,73.734,15,28.165,83.328,40,15,145.227,400.453,2,0
125.541,76.232,15,23.11,96.322,40,16.38,154.284,421.327,2,0
150,55.77,15.001,15,100,40,22.36,123.41,371.542,2,0
121.652,40,27.212,16.446,94.72,40,25.621,112.758,356.757,2,0
142.627,66.598,26.993,15,96.442,54.53,15,135.503,410.067,2,0
120,82.297,30,15.044,80.001,40,30,137.343,414.685,2,0
150,77.824,26.718,20.483,80.003,67.583,28.218,109.226,410.056,2,0
120,90,24.566,29.628,95.166,40.003,22.556,176.8,478.719,2,0
137.821,66.453,15,25.482,80,88.871,23.943,74.121,373.87,2,0
133.717,82.168,15.891,16.138,92.019,75.588,28.961,101.667,412.432,2,0
142.78,41.105,15,15,96.722,85.534,25.946,56.347,335.654,2,0
120,55.078,25.452,22.307,96.44,54.873,15,129.403,398.553,2,0
120.003,82.964,15.491,19.099,95.302,90,15,107.856,425.712,2,0
120,90,15,17.835,89.649,40,15,157.484,424.969,2,0
135.859,90,29.425,20.259,86.816,68.597,15.001,142.902,453.001,2,0
129.388,62.29,21.207,18.76,100,69.249,28.344,104.664,404.514,2,0
150,59.848,24.026,15,99.185,56.256,20.093,121.711,396.119,2,0
120,63.269,15.344,24.789,93.975,40,29.741,127.636,394.755,2,0
121.197,55.597,28.685,15.096,99.697,52.523,17.622,128.93,398.151,2,0
126.898,40,15,24.755,80,83.084,27.785,48.886,319.51,2,0
135.08,40,29.867,20.942,90.462,85.514,24.813,70.943,362.542,2,0
120,84.25,25.788,15,92.395,87.617,23.132,106.683,434.865,2,0
120,69.676,20.058,15,86.618,79.529,25.852,85.972,382.706,2,0
120,75.569,25.424,21.558,80,68.954,26.187,107.409,405.101,2,0
120.986,63.11,28.718,28.067,80,40,23.219,136.676,399.79,2,0
120.001,40.005,26.175,28.838,90.085,84.821,19.358,80.924,370.205,2,0
128.091,40,30,19.352,80,68.145,16.553,84.654,338.705,2,0
120.002,45.513,15,15,100,78.194,15,82.319,351.025,2,0
130.587,70.881,15,15,80,88.497,15,77.384,361.763,2,0
131.902,40,19.477,30,93.376,85.848,27.768,69.237,365.707,2,0
150,64.122,28.055,23.456,80.148,40,15,140.781,391.561,2,0
136.481,64.579,15,30,80,69.867,15,104.712,379.158,2,0
142.302,52.552,22.988,27.232,80.334,90,17.744,75.362,366.211,2,0
123.061,40,19.825,30,94.852,40,19.903,124.775,369.355,2,0
